offset_days,model,sample,rmse,mae,bias,n
60,bridge_unemployment_rate,pre-COVID,0.9172025344148295,0.6772133872888974,0.1311289767893633,201
60,bridge_employment,pre-COVID,0.9213314635264105,0.675148319602605,0.11690062410820909,201
60,rolling_mean,pre-COVID,0.9227844005030753,0.6634258041842392,0.07576920363048463,201
60,mean,pre-COVID,0.9242428889154308,0.6749837534467924,0.178911972261554,201
60,ridge,pre-COVID,0.9361772573409984,0.6939461039106459,0.18091898214806593,201
60,ar_aic,pre-COVID,0.9373958611339909,0.6936511461351047,0.20121350798566418,201
60,bridge_building_approvals,pre-COVID,0.9381425364742535,0.6913314900925246,0.17951861376688574,201
60,ar1,pre-COVID,0.9402929145365719,0.6893293576550192,0.2042969551570409,201
60,bridge_goods_exports,pre-COVID,0.9469829563092588,0.6762282231011361,0.07411481263324549,201
60,random_walk,pre-COVID,1.2848627786585014,0.910972804168088,0.005274236538297032,201
60,rolling_mean,1993-2019,0.5369012584133794,0.40091523469710494,0.01950004781931934,108
60,bridge_goods_exports,1993-2019,0.5432398142724358,0.396364647867896,-0.0030103089515182875,108
60,bridge_hours_worked,1993-2019,0.5441241790922434,0.4113545739860603,0.029702640461503366,108
60,ar1,1993-2019,0.5448613517148022,0.41840927296755825,0.11383312240557052,108
60,mean,1993-2019,0.5456543844819367,0.4213455310438163,0.10770820790453407,108
60,bridge_average,1993-2019,0.5466287995234063,0.41892040065486325,0.052249428431048024,108
60,ar_aic,1993-2019,0.5570133582217447,0.43821188821758006,0.10755857885582508,108
60,bridge_unemployment_rate,1993-2019,0.5677932826189248,0.4480785237517409,0.07335727059241405,108
60,bridge_employment,1993-2019,0.5776681534640375,0.44249356944662877,0.05236030490227298,108
60,ridge,1993-2019,0.5822893135009282,0.45663657218487685,0.11144347630443124,108
60,bridge_building_approvals,1993-2019,0.5881465480661003,0.45177048535670683,0.10883723515056808,108
60,random_walk,1993-2019,0.8015973118255058,0.5915011701302987,0.013921559792224794,108
